"filename","word","vowel","a1p0","timepoint","point_time","point_vwlpct","attempted_fix","errorflag","previous_segment","following_segment","vwl_duration","following_nasal","previous_nasal","previous_sonorant","participant","language","syllable","interviewee_final_blp_score","token_id","a1p0_z","vwl_duration_z"
"UCB_AK1_03_Spanish","restaurantes","a",-4.65,1,21.97,0,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-0.00525317054179432,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-2.6,2,21.988889,11.11,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,0.287468935381539,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-3.67,3,22.007778,22.22,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,0.134682275216677,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-6.93,4,22.026667,33.33,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-0.330817268837013,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-8.78,5,22.045556,44.44,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-0.594981120523924,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-8.91,6,22.064444,55.56,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-0.613543985777599,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-10.35,7,22.083333,66.67,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-0.819163416279842,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-11.74,8,22.102222,77.78,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-1.01764328322298,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-12.93,9,22.121111,88.89,"None","None","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,-1.1875648959297,2.06746047476632
"UCB_AK1_03_Spanish","restaurantes","a",-3.77,10,22.14,100,"LowF1Corrected","LowF1","ɾ","n",170,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,178,0.120403148098466,2.06746047476632
"UCB_AK1_03_Spanish","rancho","a",-5.57,1,44.83,0,"LowF1Corrected","LowF1","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,-0.136621140029339,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-4.33,2,44.845556,11.11,"None","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,0.0404400362364821,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-5.24,3,44.861111,22.22,"LowF1Corrected","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,-0.0895000205392414,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-4.09,4,44.876667,33.33,"None","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,0.0747099413201894,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-2.4,5,44.892222,44.44,"None","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,0.316027189617962,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-1.52,6,44.907778,55.56,"None","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,0.441683508258222,1.26288116951502
"UCB_AK1_03_Spanish","rancho","a",-2.18,7,44.923333,66.67,"None","None","r","n",140,"1","0","1","UCB_AK1_03","Spanish","CVN",6.27,176,0.347441269278027,1.26288116951502
