interviewer_code,interviewer_ethnicity,interviewer_age,interviewer_gender,interviewer_dialect_of_spanish,interviewer_proficiency_in_spanish,interviewer_educational_level,interviewer_dominance_primary_language,interviewer_dominance_secondary_language,interviewer_dominance_tertiary_language,interviewer_dominance_quaternary_language,interviewer_order_acquisition_first_language,interviewer_order_acquisition_interviewer_second_language,interviewer_order_acquisition_third_language,interviewer_order_acquisition_fourth_language,interviewer_english_percentage,interviewer_spanish_percentage,interviewer_other_language,interviewer_other_language_percentage,interviewer_tertiary_language_interlocutor_percentage,interviewer_quaternary_language_interlocutor_percentage,interviewer_foreign_accent_english,interviewer_foreign_accent_spanish,interviewer_english_accent_identification,interviewer_spanish_accent_identification,interviewee_participant_code,interviewee_birth_city,interviewee_birth_country,interviewee_us_arrival_age,interviewee_city_growing_up,interviewee_country_growing_up,interviewee_year_of_birth,interviewee_highest_grade_completed,interviewee_city_of_completed_education,interviewee_primary_california_location,interviewee_current_residence,interviewee_country_of_completed_education,interviewee_years_in_us,interviewee_years_in_california,interviewee_previous_residence_01,interviewee_previous_residence_02,interviewee_previous_residence_03,interviewee_current_profession,interviewee_desired_profession,interviewee_origin_country_profession,interviewee_number_of_housemates,interviewee_parent_language_01,interviewee_parent_language_02,interviewee_parent_language_03,interviewee_mother_profession,interviewee_father_profession,interviewee_mother_education,interviewee_father_education,interviewee_mother_birth_city,interviewee_mother_birth_country,interviewee_father_birth_city,interviewee_father_birth_country,interviewee_additional_language_01,interviewee_additional_language_02,interviewee_sex,interviewee_ethnicity_01,interviewee_ethnicity_02,interviewee_grandparent_birthplace_01,interviewee_grandparent_birthplace_02,interviewee_grandparent_birthplace_03,interviewee_grandparent_birthplace_04,interviewee_generation_immigration,interviewee_close_family_country,interviewee_hispanic_country_visiting,interviewee_hispanic_country_visiting_rate,interviewee_hispanic_country_visitors,interviewee_hispanic_country_visitor_rate,interviewee_married,interviewee_language_with_spouse,interviewee_spouse_ethnicity,interviewee_spouse_native_language,interviewee_language_with_children,interviewee_language_with_siblings,interviewee_language_with_mother,interviewee_language_with_father,interviewee_number_of_older_siblings,interviewee_number_of_younger_siblings,interviewee_bilingual_education,interviewee_interview_date,interviewee_foreign_accent_english,interviewee_foreign_accent_spanish,interviewee_frequency_identification_nonnative_english,interviewee_frequency_identification_nonnative_spanish,interviewee_start_learning_english,interviewee_start_learning_spanish,interviewee_feel_comfortable_english,interviewee_feel_comfortable_spanish,interviewee_class_years_english,interviewee_class_years_spanish,interviewee_region_years_english,interviewee_region_years_spanish,interviewee_family_years_english,interviewee_family_years_spanish,interviewee_work_years_english,interviewee_work_years_spanish,interviewee_friends_percentage_english,interviewee_friends_percentage_spanish,interviewee_friends_percentage_other,interviewee_family_percentage_english,interviewee_family_percentage_spanish,interviewee_family_percentage_other,interviewee_school_work_percentage_english,interviewee_school_work_percentage_spanish,interviewee_school_work_percentage_other,interviewee_talk_yourself_percentage_english,interviewee_talk_yourself_percentage_spanish,interviewee_talk_yourself_percentage_other,interviewee_count_percentage_english,interviewee_count_percentage_spanish,interviewee_count_percentage_other,interviewee_speak_proficiency_english,interviewee_speak_proficiency_spanish,interviewee_understand_proficiency_english,interviewee_understand_proficiency_spanish,interviewee_read_proficiency_english,interviewee_read_proficiency_spanish,interviewee_write_proficiency_english,interviewee_write_proficiency_spanish,interviewee_feel_myself_english,interviewee_feel_myself_spanish,interviewee_identify_english_speaking_culture,interviewee_identify_spanish_speaking_culture,interviewee_english_nativespeaker,interviewee_spanish_nativespeaker,interviewee_others_nativespeaker_english,interviewee_others_nativespeaker_spanish,interviewee_final_blp_score,interviewee_date_conducted,interviewee_time_started,interviewee_place_conducted,interviewee_interviewee_attitude_towards_interviewer,interviewee_interview_formality,interviewee_interviewer_relationship_with_interviewee,interviewee_other_information,interviewee_notes_about_language_used_in_interview,interviewee_language_dominance,interviewee_normalized_edlevel,interviewee_latitude,interviewee_longitude
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_05,"Clearlake, CA",USA,NA,"Clearlake, CA",USA,2004,high_school,"Lower Lake, CA","Lower Lake, CA","Berkeley, CA",USA,18,18,"Clearlake, CA",NA,NA,Doctor (maybe she meant she is stuyding to be a doctor?),Psychology doctor,NA,3,Spanish,NA,NA,Pharmacist,Store manager,NA,12th grade,Jalisco,Mexico,"Ayotitlan, Jalisco",Mexico,NA,NA,female,Mexicamerican,NA,Jalisco,NA,NA,NA,Gen2,"Ayotitlan, Jalisco",Mexico,Occasionally,NA,NA,NA,NA,NA,NA,NA,English,Spanish and English,Spanish and English,0,4,Yes,12/30/1999,0,3,0,3,4,0,5,0,16,10,18,0,18,18,3,3,100,0,0,70,30,0,100,0,0,80,20,0,100,0,0,5,3,6,6,5,5,5,5,6,4,5,3,6,6,6,6,64.03,11/14/2023,NA,Home,Positive,Friends,Friends,NA,NA,English,Completed High School (12th),38.911326,-122.609264
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_02,Los Angeles,USA,NA,"Los Angeles, CA",USA,2002,some_college,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,20,20,Fountain Valley,NA,NA,Student,Accountant,NA,10,Spanish,NA,NA,Circuit worker (Trabajador de circuitos),Truck driver,tercero de secundaria,cuarto de preparatoria,NA,Mexico,NA,Mexico,NA,NA,male,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico,Mexico,Occasionally,Mexico,Occasionally,no,no,no,NA,NA,NA,Spanish and English,Spanish and English,1,0,No,10/23/2023,0,2,0,3,2,0,0,0,14,4,20,0,20,20,1,0,100,0,0,50,50,0,100,0,0,70,30,0,80,20,0,6,5,6,6,6,6,6,5,6,3,6,4,5,6,6,6,59.486,10/23/2023,NA,Home,nonchalant,Friends,Friend from church,NA,not as confidient in Spanish,English,"Some College (Associates Degree, incomplete Bachelors, community college, under 4 years of college)",37.8690573,-122.2704634
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_03,"Salinas, CA",USA,NA,"Gonzalez, CA",USA,2005,high_school,NA,"Berkeley, CA","Berkeley, CA",USA,18,18,"Gonzalez, CA",NA,NA,College student,Immigration law,NA,2,Spanish,English,NA,Business owner,Busines owner,some high school (11th),11th grade,Tijuana,Mexico,Jalisco,Mexico,NA,NA,female,latinx,NA,Mexico,NA,NA,NA,Gen2,Mexico,Mexico,Once a year,NA,NA,NA,NA,NA,NA,NA,Spanish and English,NA,NA,0,5,No,11/7/2023,3,7,4,6,5,0,5,13,18,16,18,16,18,18,15,15,100,0,0,100,100,0,100,0,0,100,100,0,100,0,0,6,4,6,4,6,4,6,4,6,6,6,6,6,6,6,6,54.038,11/7/2023,NA,Interviewee's home,Good,friends/casual,friends,NA,NA,English,Completed High School (12th),37.8690573,-122.2704634
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_04,"Reedley, CA",USA,NA,"Reedley, CA",USA,2001,some_college,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,21,21,"Reedley, CA",NA,NA,Cashier,Counselor,NA,6,Spanish,NA,NA,Field work ( trabajadora en el fil ),Field work ( trabajador en el fil ),Primary/elementary (primaria),Primary/elementary (primaria),Michoacan,Mexico,Michoacan,Mexico,NA,NA,female,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico,Mexico,Rarely,Mexico,Rarely,no,NA,NA,NA,NA,Spanish and English,Spanish,Spanish,0,6,No,11/13/2023,2,2,2,6,4,4,6,6,12,0,20,20,10,20,2,2,90,10,0,10,90,0,100,10,0,90,10,0,80,20,0,6,5,6,5,6,5,6,5,5,5,5,3,2,6,6,6,30.518,11/13/2023,NA,Yuli's (interviewer) house,Positive,Friends,friends,NA,NA,English,"Some College (Associates Degree, incomplete Bachelors, community college, under 4 years of college)",37.8690573,-122.2704634
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_06,NA,USA,NA,"Los Angeles, CA",USA,2003,some_college,"Los Angeles, CA","Los Angeles, CA","Berkeley, CA",USA,20,20,"Compton, CA",NA,NA,Student,Politician,NA,1,Spanish,NA,NA,NA,NA,Primary/elementary (primaria),don't know,NA,Mexico,NA,Mexico,NA,NA,female,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico,Mexico,Rarely,Mexico,NA,no,NA,NA,NA,NA,NA,Spanish,Spanish,5,0,no,11/15/2023,6,9,3,0,4,1,0,0,20,2,20,20,20,20,20,20,100,30,0,80,30,0,100,0,0,100,0,0,100,0,0,6,3,6,3,6,4,6,2,6,6,6,6,6,6,1,1,79.83,11/15/2023,NA,Interviewer's home,Casual,casual,coworker,NA,NA,English,"Some College (Associates Degree, incomplete Bachelors, community college, under 4 years of college)",34.052238,-118.243344
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_07,"Los Angeles, CA",USA,NA,"Los Angeles, CA",USA,1993,college,Los Angeles and San Francisco,"Los Angeles, CA","Berkeley, CA",USA,30,30,Emeryville,NA,NA,Customer support,Business,NA,2,English,NA,NA,Secretary,Works in a store,College (colegio),High school (escuela secundaria),"Vallejo, CA",US,"Brookhaven, Mississippi",US,NA,NA,female,African American,NA,Arkansas,Mississippi,NA,NA,L2,No,NA,Once a year,NA,Occasionally,yes,English,Mexican and Colombian,Spanish,NA,NA,English,English,0,0,Yes,12/13/2023,0,0,0,1,0,14,3,15,15,7,20,0,20,0,20,10,90,10,0,100,0,0,100,0,0,100,0,0,100,0,0,6,3,6,3,6,4,6,3,6,4,6,3,6,5,6,1,140.396,12/13/2023,NA,Interviewee's home,friendly,casual,Friend,co? brown: blue/azul,NA,English,"Completed College ( college ,  university , Completed Bachelors, 4 years college or greater)",34.052238,-118.243344
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_08,NA,USA,NA,"Orange County, CA",USA,2000,some_college,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,20,20,"Los Angeles, CA",NA,NA,Student,Lab tech,NA,6,English,Spanish,NA,Cook,Bus driver,Primary/elementary (primaria),Primary/elementary (primaria),NA,Mexico,NA,US,NA,NA,female,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico,Mexico,Rarely,Mexico,Rarely,NA,NA,NA,NA,NA,NA,Spanish,Spanish,1,4,yes,12/16/2023,1,4,0,3,7,3,7,3,12,5,20,0,0,20,3,3,80,20,0,10,90,0,90,10,0,90,10,0,90,10,0,6,4,6,5,6,5,6,4,6,6,0,6,6,6,6,6,23.526,12/16/2023,NA,Interviewer's home,casual,friendly,friend,Bananas (code-word said at the end of recording),Mexican dialect,English,"Some College (Associates Degree, incomplete Bachelors, community college, under 4 years of college)",37.8690573,-122.2704634
UCB_GMT1,hispanic/latinx,21,male,Mexican,Native,college,Spanish,English,NA,NA,Spanish,English,French,Italian,40,60,unknown,0,NA,NA,6,0,6,0,UCB_GMT1_04,"Sacramento, CA",USA,NA,"Sacramento, CA",USA,2002,unknown_or_ambiguous,"Sacramento, CA","Sacramento, CA","Rio Linda, CA",USA,21,21,NA,NA,NA,Student,Architect,NA,6,English,Spanish,NA,Teacher Aid,Cement Mason,High school,high school,Santa Ana,US,Mexico City,Mexico,NA,NA,male,hispanic,NA,"Guadalajara, Mexico",NA,NA,NA,Gen2,Mexico,Mexico,NA,NA,rarely,no,NA,NA,NA,NA,English,Spanish,Spanish,2,1,Yes,12/5/2023,0,10,0,10,2,12,4,20,12,5,20,0,20,20,20,0,100,0,0,90,10,0,100,0,0,100,0,0,100,0,0,6,1,6,4,6,2,6,1,6,0,6,1,6,3,6,3,160.372,12/5/2023,9:00:00 AM,"Berkeley, CA","Comfortable, open to share and expand",informal,partner,Interviewee was more outspoken in English. Some use of English when struggling to make a comment. Comfortable and calm.,NA,English,"Unknown (put age instead of grade, non-academic licenses, blanks)",38.5769347,-121.4949523
UCB_GL1,white/Filipino,19,female,Castellano,Fluent,NA,English,Spanish,NA,NA,English,Spanish,NA,NA,25,75,unknown,0,NA,NA,0,3,0,1,UCB_GL1_05,"Madera, CA",USA,NA,"Chowchilla, CA",USA,2002,some_college,"Berkeley, CA","Berkeley, CA","Chowchilla, CA",USA,22,22,"Chowchilla, CA",NA,NA,Political Finance,Attorney,NA,5,Spanish,English,NA,Kitchen Assistant,Sales Associate,High school,high school,NA,Mexico,NA,Mexico,NA,NA,female,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico,NA,Occasionally,NA,Rarely,no,NA,NA,NA,NA,English,Spanish and English,Spanish and English,1,1,No,5/5/2024,3,5,3,3,4,0,4,0,16,3,20,0,20,20,1,0,100,50,0,50,50,0,100,0,0,70,30,0,100,0,0,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,47.954,5/5/2024,NA,Interviewer's Home,Really fast talking maybe nervous a little,informal,Friends,"Interviewee was a little sick, minor coughing and sniffling",NA,English,"Unknown (put age instead of grade, non-academic licenses, blanks)",37.8690573,-122.2704634
UCB_YP1,latinx,21,female,Mexican,Fluent/Native,college,English,Spanish,NA,NA,Spanish,English,NA,NA,50,50,unknown,0,NA,NA,2,3,0,1,UCB_YP1_19,"Sonoma, CA",USA,NA,"Sonoma, CA",USA,2003,some_college,"Sonoma, CA","Sonoma, CA",USA,USA,21,21,NA,NA,NA,NA,Doctor,NA,4,Spanish,NA,NA,Housekeeper,Handyman,Primary/elementary (primaria),Primary/elementary (primaria),Michoacán,Mexico,Yucatán,Mexico,NA,NA,female,Mexican,NA,Mexico,NA,NA,NA,Gen2,Mexico (Michoacan y Yucatan),Mexico (Yucatan),Once a year,NA,NA,no,NA,NA,NA,NA,English and Spanish,Englsh and Spanish,English and Spanish,0,1,No,3/6/2024,0,0,0,0,5,0,0,0,20,4,20,0,20,20,20,0,100,50,0,30,100,0,100,0,0,100,0,0,100,0,0,6,5,6,6,6,5,6,5,6,6,5,6,6,6,5,6,55.944,3/6/2024,NA,Campus,Casual,Casual,Mutual friend,Code: blank,NA,English,"Unknown (put age instead of grade, non-academic licenses, blanks)",38.291962,-122.458003
